IMU_0,IMU_1,IMU_2,IMU_3,IMU_4,IMU_5,IMU_6,IMU_7,IMU_8,IMU_9,IMU_10,IMU_11,Label
-857.7332153320312,74.85920715332031,660.86181640625,-972.125,-59543.75,23652.125,-729.9747924804688,-17.799800872802734,791.1212158203125,9044.875,-59287.375,21627.375,something
-616.2219848632812,-40.78459930419922,806.8714599609375,-1684.375,-2689.75,-3355.625,-469.5780334472656,-105.92039489746094,896.7122192382812,-1595.125,-2821.0,-3314.5,something
-615.5509643554688,-44.09080123901367,805.78564453125,-1175.125,-2099.125,-2902.375,-469.1510314941406,-108.8239974975586,895.5654296875,-1106.875,-2175.25,-2996.875,something
-614.9044189453125,-46.1525993347168,805.5050659179688,-608.125,-1249.5,-2566.375,-468.7605895996094,-110.5929946899414,895.0896606445312,-620.375,-1253.0,-2643.375,something
-615.2581787109375,-47.43360137939453,807.4570922851562,317.625,784.0,-1666.0,-468.91925048828125,-111.93499755859375,897.0782470703125,249.375,819.875,-1872.5,something
-615.3557739257812,-48.69020462036133,810.2508544921875,1746.5,1602.125,-850.5,-468.3336486816406,-113.106201171875,899.6158447265625,1685.25,1809.5,-1320.375,something
-615.06298828125,-49.202598571777344,810.397216796875,2805.25,700.875,-653.625,-467.4917907714844,-113.61860656738281,899.6158447265625,2867.375,1014.125,-1383.375,something
-615.5388793945312,-49.38560104370117,805.8831787109375,3760.75,-354.375,-432.25,-468.6629943847656,-114.00899505615234,895.1261596679688,3912.125,132.125,-1369.375,something
-616.7467041015625,-49.33679962158203,799.6367797851562,3576.125,-324.625,-83.125,-470.8833923339844,-114.36280822753906,889.1360473632812,3728.375,283.5,-968.625,something
-621.7852783203125,-47.763004302978516,790.9991455078125,1506.75,2505.125,1717.625,-477.434814453125,-113.83821105957031,881.5598754882812,1649.375,2457.0,1249.5,something
-623.7005615234375,-47.84840393066406,791.5115966796875,819.875,3848.25,2846.375,-478.9720153808594,-114.30179595947266,882.4503784179688,1018.5,3783.5,2536.625,something
-622.7001953125,-50.129798889160156,794.293212890625,-63.875,4810.75,3673.25,-476.8492126464844,-116.54659271240234,884.9758911132812,126.0,4459.875,3383.625,something
-621.2117919921875,-52.5453987121582,797.733642578125,-560.875,4200.875,3609.375,-474.38482666015625,-118.66939544677734,888.0380859375,-301.0,3741.5,3380.125,something
-617.5884399414062,-57.8036003112793,802.1378173828125,-733.25,2328.375,3136.875,-469.35845947265625,-123.3298110961914,891.8200073242188,-345.625,2190.125,2888.375,something
-614.4652099609375,-61.09760284423828,803.9556274414062,-853.125,1129.625,2244.375,-465.68621826171875,-126.11140441894531,893.10107421875,-498.75,962.5,2019.5,something
-613.2818603515625,-63.86699676513672,808.9087524414062,-613.375,20.125,568.75,-463.97821044921875,-128.40499877929688,897.9566650390625,-307.125,-25.375,417.375,something
-615.563232421875,-62.634796142578125,811.9953002929688,179.375,-1141.875,355.25,-465.86920166015625,-127.20939636230469,901.3604736328125,620.375,-1147.125,35.0,something
-620.3822021484375,-57.08379364013672,814.0205688476562,1677.375,-2414.125,665.0,-470.8833923339844,-122.13419342041016,904.04443359375,2318.75,-2238.25,102.375,something
-624.066650390625,-51.56939697265625,813.0689697265625,2703.75,-2876.125,1591.625,-475.2265625,-117.09559631347656,903.8370361328125,3514.875,-2688.875,839.125,something
-626.555419921875,-45.603599548339844,810.0189819335938,3654.875,-3324.125,2926.0,-478.72796630859375,-111.30059814453125,900.9456176757812,4674.25,-2963.625,1969.625,something
-626.5432739257812,-36.599998474121094,799.2220458984375,3928.75,-2453.5,4677.75,-481.643798828125,-102.54100036621094,890.2095947265625,4978.75,-1967.875,3723.125,something
-626.3236083984375,-33.83060073852539,795.0374755859375,3528.875,-1630.125,5259.625,-482.497802734375,-99.94239807128906,886.19580078125,4546.5,-1216.25,4373.25,something
-625.9332275390625,-25.998199462890625,783.6548461914062,2064.125,2404.5,8013.25,-485.3160705566406,-92.14659118652344,875.0572509765625,3107.125,2707.25,7393.75,something
-625.9820556640625,-21.728199005126953,778.262451171875,1377.25,3906.0,9600.5,-486.792236328125,-87.80339813232422,869.7257690429688,2504.25,4116.0,9120.125,something
-626.3724365234375,-16.909198760986328,773.0896606445312,273.0,6655.25,11265.625,-488.84185791015625,-83.42359924316406,865.05322265625,1378.125,6782.125,11001.375,something
-627.482666015625,-10.577400207519531,766.4772338867188,-2401.0,9980.25,14429.625,-491.78204345703125,-77.62860107421875,858.9166259765625,-1037.75,9731.75,14615.125,something
-627.9706420898438,-6.734400272369385,763.1588745117188,-4548.25,12120.5,16516.5,-493.28265380859375,-74.10279846191406,855.8543701171875,-3068.625,11718.875,17091.375,something
-624.1763916015625,-3.4647998809814453,760.4503784179688,-8736.0,16983.75,18597.25,-490.8792419433594,-71.08940124511719,853.12158203125,-7247.625,16042.25,19875.625,something
-620.6505126953125,-0.40259990096092224,760.81640625,-14146.125,18991.875,18238.5,-488.1830139160156,-67.58799743652344,853.5608520507812,-12566.75,17573.5,20582.625,something
-627.5801391601562,3.7820003032684326,767.8070068359375,-15785.875,21028.875,18638.375,-495.12481689453125,-64.02559661865234,862.2350463867188,-14130.375,19578.125,21462.875,something
-645.8314208984375,10.918999671936035,780.0192260742188,-15766.625,25977.875,21336.0,-511.6923828125,-58.718597412109375,877.2410278320312,-14131.25,24503.5,24383.625,something
-662.7283935546875,17.482601165771484,786.0093994140625,-15316.875,28695.625,22838.375,-527.6500244140625,-54.045997619628906,886.0006713867188,-13804.0,27099.625,25898.25,something
-691.4472045898438,26.6814022064209,793.3782348632812,-13074.25,36007.125,25896.5,-556.3931884765625,-48.006996154785156,897.7858276367188,-12103.0,34545.875,28645.75,something
-713.1997680664062,28.889602661132812,785.0700073242188,-11530.75,41106.625,27684.125,-578.243408203125,-48.36079788208008,892.5886840820312,-11150.125,39543.0,30077.25,something
-730.7434692382812,26.071401596069336,760.5113525390625,-12215.0,43177.75,27300.0,-598.605224609375,-53.3505973815918,870.92138671875,-12090.75,41685.875,29857.625,something
-735.7576293945312,23.509401321411133,749.5679931640625,-12375.125,44298.625,27261.5,-604.8516235351562,-56.608001708984375,860.64892578125,-12645.5,42259.875,29798.125,something
-751.7762451171875,5.270400047302246,689.4464111328125,-19159.0,32999.75,25463.375,-624.5301513671875,-77.62860107421875,803.1747436523438,-18308.5,30023.875,28411.25,something
-758.9742431640625,-5.4900007247924805,666.65673828125,-23520.0,24839.5,22511.125,-633.2776489257812,-89.25520324707031,781.8980102539062,-21871.5,21483.0,25990.125,something
-775.3344116210938,-19.837202072143555,650.58935546875,-24723.125,5591.25,18855.375,-648.564208984375,-104.2612075805664,767.9778442382812,-20930.875,1866.375,22145.375,something
-791.6092529296875,-25.522401809692383,649.8208618164062,-18559.625,-12196.625,17797.5,-663.4970092773438,-110.25140380859375,770.0274658203125,-13414.625,-14655.375,19860.75,something
-794.5494384765625,-20.37400245666504,649.6378173828125,-6836.375,-23662.625,18449.375,-666.7422485351562,-103.02900695800781,768.9782104492188,-589.75,-24815.0,18515.0,something
-788.1810302734375,-9.747800827026367,639.6825561523438,-367.5,-33265.75,18339.125,-663.0943603515625,-91.41460418701172,757.8640747070312,6607.125,-33749.625,16938.25,something
-782.7154541015625,2.208200693130493,629.2882080078125,4909.625,-41362.125,18577.125,-661.0203857421875,-78.90961456298828,747.1036376953125,12470.5,-41323.625,16096.5,something
-759.9990234375,24.961200714111328,620.8579711914062,12180.0,-47267.5,16084.25,-644.5137939453125,-53.862998962402344,735.7332763671875,19925.5,-46341.75,12355.875,something
-739.222412109375,48.38520050048828,616.9539184570312,14218.75,-57591.625,10794.0,-628.190185546875,-28.938396453857422,730.0358276367188,21464.625,-55943.125,7043.75,something
-735.2452392578125,64.19639587402344,625.530517578125,12173.0,-60090.625,9968.875,-626.1527709960938,-13.895800590515137,739.0760498046875,19525.625,-57906.625,6841.625,something
-732.6099853515625,78.49480438232422,654.9935913085938,8381.625,-46174.625,13371.75,-622.4806518554688,-0.9150001406669617,768.9660034179688,14926.625,-44324.875,11263.0,something
-729.2183837890625,74.05400085449219,685.5668334960938,5537.875,-42465.5,17587.5,-614.1358642578125,-4.965399742126465,798.3192138671875,12482.75,-41197.625,15798.125,something
-711.4552001953125,64.33059692382812,722.4107666015625,5567.625,-38177.125,19860.75,-590.7728271484375,-13.383399963378906,831.5764770507812,12432.875,-36670.375,18537.75,something
-680.8698120117188,43.74919891357422,760.389404296875,8732.5,-32599.0,18395.125,-552.843017578125,-29.487396240234375,863.7965698242188,15356.25,-30640.75,15947.75,something
-625.6648559570312,15.555000305175781,804.5534057617188,18913.125,-23977.625,9489.375,-490.3545837402344,-49.00739669799805,897.5905151367188,23377.375,-20097.875,5634.125,something
-579.3658447265625,3.3794002532958984,815.3016357421875,33234.25,-8997.625,3085.25,-443.7383728027344,-54.692596435546875,901.7019653320312,34644.75,-2865.625,-2582.125,something
-552.0377807617188,2.57420015335083,791.0113525390625,38306.625,-259.0,2486.75,-421.04638671875,-53.204200744628906,874.3861083984375,38458.0,6744.5,-4158.875,something
-504.49444580078125,7.649399757385254,725.1192016601562,28715.75,20265.0,2953.125,-386.0812072753906,-46.4088020324707,801.7107543945312,26429.375,27014.75,-1634.5,something
-466.51580810546875,5.380200386047363,688.5191650390625,14852.25,39567.5,55.125,-354.8492126464844,-46.67720031738281,760.389404296875,10286.5,43401.75,-2574.25,something
-441.7132263183594,-1.195599913597107,676.5022583007812,-709.625,48092.625,-9457.0,-330.54681396484375,-51.69139862060547,744.3829956054688,-7256.375,48286.875,-8947.75,something
-456.70697021484375,-12.870999336242676,720.3489990234375,-19419.75,58734.375,-27585.25,-336.3905944824219,-64.95279693603516,789.0960083007812,-29421.875,56994.875,-23787.75,something
-566.1409912109375,-29.670400619506836,820.5597534179688,-15192.625,67223.625,-36857.625,-422.8154296875,-89.09660339355469,904.3372192382812,-27622.0,64933.75,-32975.25,something
-623.9934692382812,-21.264598846435547,842.7394409179688,-13711.25,63427.875,-34991.25,-475.32427978515625,-86.05880737304688,935.1666259765625,-25638.375,62445.25,-32024.125,something
-683.7734375,11.736400604248047,847.4486083984375,-9400.125,80397.625,-34293.875,-537.4222412109375,-59.17000198364258,950.0140380859375,-23094.75,80178.0,-31731.0,something
-726.8638916015625,61.146400451660156,836.9566650390625,-3375.75,81744.25,-35516.25,-584.9290161132812,-16.128402709960938,946.7688598632812,-17972.5,82383.875,-34135.5,something
-775.0782470703125,130.3691864013672,816.1190185546875,6443.5,72528.75,-37683.625,-643.0986328125,50.23959732055664,934.52001953125,-7840.0,74740.75,-37747.5,something
-933.67822265625,369.67218017578125,655.4693603515625,23423.75,-23388.75,-24570.875,-839.73828125,269.75421142578125,798.0508422851562,19664.75,-21735.0,-27795.25,something
-975.7803955078125,474.50677490234375,565.9092407226562,15491.875,-55269.375,-7721.875,-908.1802978515625,367.4884338378906,719.1655883789062,18421.375,-54909.75,-10698.625,something
-993.9583740234375,572.8265380859375,493.7706604003906,998.375,-73647.875,13049.75,-949.3917846679688,459.8180236816406,652.7122192382812,9880.5,-75117.875,11944.625,something
-996.0202026367188,648.8936157226562,450.82659912109375,-16522.625,-81713.625,35803.25,-966.9476318359375,529.3945922851562,617.3321533203125,-2664.375,-86251.375,37468.375,something
-966.80126953125,701.48779296875,485.2916564941406,-38494.75,-63855.75,68609.625,-945.1095581054688,581.6593627929688,653.8223876953125,-19678.75,-67875.5,72758.875,something
-957.8220825195312,699.3040161132812,524.1242065429688,-41824.125,-53344.375,78428.875,-932.3484497070312,580.6956176757812,691.5447998046875,-22565.375,-57352.75,83342.875,something
-946.9518432617188,572.1190185546875,715.6032104492188,-28630.875,-17470.25,128661.75,-879.3516845703125,459.9034118652344,875.5086669921875,-5547.5,-20843.375,132347.25,something
-902.23876953125,464.5394592285156,776.2371826171875,-29827.0,-9840.25,143696.0,-814.22802734375,359.9000244140625,926.3093872070312,-3909.5,-13490.75,147709.625,something
-850.8402099609375,355.54461669921875,824.7809448242188,-37154.25,-14463.75,139635.125,-742.1016235351562,256.1024169921875,964.1904296875,-10319.75,-18034.625,146030.5,something
-768.0631713867188,162.10140991210938,897.2855224609375,-41268.5,-38420.375,110328.75,-623.078369140625,72.80960845947266,1022.0914916992188,-14545.125,-39690.875,114401.0,something
